"Site","Ameletus","Baetidae_2tails","Baetidae_3tails","Baetis","Heterocleon","Procloeon","Fallcleon","Baetidae_juv","Serratella","New_Drunella","Drunella_sp","Ephemerellidae_juv","Ironodes","Cinygmula","Cinygma","Epeorus","Heptageniidae_juv","Paraleptophlebia.gregalis","Paraleptophlebia.temporalis","Paraleptophlebia","Paraleptophlebidae_juv","Ephemeroptera_juv","Visoka.cataractae","Zapada.cinctipes","Zapada.frigida","Zapada_juv","Malenka","Soyedina","Nemouridae_juv","Despaxia","Leuctridae_juv","Capnidae_juv","Kathroperla","Sweltza","Suwallia","Chloroperlidae_Other","Chloroperlidae_juv","Perlodidae_nogills","Perlodidae_juv","Perlodidae_Unknown1","Perlodidae_Unknown2","Perlolidae_Osobenus","Chlorop_Perlodid_Perlid_juv","Perlidae_juv","Plecoptera_juv","Plecoptera_adult","Glossosoma","Rhyacophila","Lepidostoma_roafi","Lepidostoma_David","Lepidostoma_juv","Brachycentrus","Apatania","Allomyia","Psychoglypha","Discosmoecus","Chyranda","Clostoeca","Philocasca","Homophylax","Limnephilidae_juv","Goeracea","Agraylea","Tinodes","Trichoptera_pupae","Trichop.dam.juv","Heterlimnius","Rhizelmis","Dytiscid_unknown","Dyticidae_Hydaticus","Hydrophilidae_Helophorus","Hydrophilidae_Hydrobius","Hydrophilidae_unknown","Hydroptilidae_unknown","Hydrochiidae_Hydrochus","Crysomelidae_unknown","Tenebrionidae_unknown","Coleoptera_unknown","Staphylinidae_adult","Adult_unknown","Chironomini","Tanytarsini","Tanypodinae","Brillia","Corynoneura","Other_Orthocladiinae","Orthocladinae2","LongHairOrthoclad","Podominae","Chironomid_unknown","ChiroN_.pupae","Chioron_adult","Ceratopog_maybenoBezzia","Dixa","Simuliidae_larvae","Simulium","Twinnia","Simul.pupae","Dicranota","Hexatoma","Molophilus","Tipulidae_juv.dam","Chelifera","Oreogeton","Horny_Diptera_larva","Unknown_Diptera_larva","Diptera_adult","Culicid_larva","Diptera_pupae","Cordulegaster.dorsalis","Sminthuridae","Unknown.Collembola","Collembola_A","Collembola_B","Collembola_C","Homoptera","Saldidae_Unknown","Hebridae_Unknown","Hemiptera_unknown","Thrip","Ostracoda_unknown","Copepoda","Naididae","Turbellaria_unknown","Nematoda_unknown","Other_Hydracarina","Non_Oribatid","Oribatea","Mite_Unknown","Flat.snail","Taller.snail","Sphaeriidae_unknown","Caterpillar_unknown","Noctuidae_Unknown","Spider_unknown","Site_surbers","Area.m2"
"B1_I",265,0,22,0,0,0,1,0,0,3,0,0,0,10,1,0,103,0,0,6,51,0,0,0,0,0,0,0,0,0,5,0,0,132,38,27,89,0,1,4,4,0,46,2,0,0,0,0,1,0,9,1,0,6,0,0,1,0,2,0,0,0,0,0,0,0,18,11,0,0,0,0,2,0,0,0,0,0,0,0,0,285,43,45,31,56,0,0,0,0,0,0,16,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,11,4,61,47,44,15,41,0,5,0,1,0,0,1,3,0,3,7,0.63
"B2_I",48,2,1,7,0,0,0,0,0,2,0,0,1,23,1,1,130,0,0,10,203,0,0,4,0,0,1,1,0,0,1,0,0,203,1,1,78,1,0,33,0,0,40,0,0,0,1,1,1,0,1,0,0,13,0,1,4,4,5,0,1,0,0,0,2,1,3,2,0,0,0,0,1,0,0,0,0,1,0,0,0,46,79,71,21,178,0,0,0,0,5,0,6,1,98,48,0,2,8,0,0,3,2,5,0,2,1,0,2,0,0,1,1,0,0,0,0,0,7,16,20,9,77,166,26,0,0,1,0,1,1,0,0,0,1,8,0.72
"B3_I",3,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,16,3,0,0,5,0,0,0,32,9,0,0,0,0,48,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,16,0,4,39,55,0,0,0,0,0,2,1,0,13,0,0,4,0,1,0,0,6,2,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,7,10,8,2,4,0,0,0,2,0,0,0,0,0,1,6,0.54
"B4_I",38,1,0,0,0,3,1,4,1,2,1,8,0,31,2,3,24,0,2,5,6,1,0,0,0,2,0,0,1,0,0,0,1,74,4,5,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,126,80,71,37,105,4,4,3,1,13,0,2,0,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,3,160,25,24,69,2,2,3,0,0,2,0,0,1,0,1,6,0.54
"B5_I",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,2,1,2,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,12,1,21,14,14,0,0,5,0,0,0,16,2,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,2,0,28,1,2,0,0,0,0,0,1,0,0,0,1,8,0.72
"B6_I",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,22,1,0,0,0,0,0,1,0,10,12,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,5,0.45
"C1_I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,12,4,1,0,4,2,0,0,0,1,0,1,0,441,2,3,2,32,0,0,0,0,8,1,42,0,0,1,0,0,0,0,0,2,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,2,0,10,341,162,0,19,0,0,0,0,0,3,0,0,0,1,8,0.72
"C2_I",40,0,31,21,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,5,13,7,2,1,0,5,4,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,66,16,41,25,70,0,2,2,0,0,0,1,0,84,325,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,44,104,2,7,0,1,0,2,0,1,0,0,0,0,8,0.72
"C3_I",18,0,0,14,0,0,0,1,0,2,0,1,0,13,0,19,0,0,0,8,1,0,0,0,2,12,1,0,0,1,0,0,0,21,14,0,0,0,0,16,4,1,6,3,1,0,0,4,0,0,0,5,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,126,21,1,43,116,30,0,1,0,1,0,3,0,0,4,0,0,13,0,0,0,0,16,0,1,1,0,0,0,0,0,3,0,1,0,0,1,0,2,56,12,66,14,9,0,0,0,2,0,0,0,0,1,0,6,0.54
"R1_I",38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,123,0,0,0,0,1,0,0,0,0,1,0,0,30,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,30,4,0,1,34,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,7,0,7,0,176,18,7,0,2,0,0,0,2,0,0,0,3,0,1,5,0.45
